S,R,Z,Psi
5.96,0.059555,0.00207022,0.0595934
5.97,0.0596548,0.00207667,0.0596933
5.98,0.0597545,0.00208313,0.0597933
5.99,0.0598543,0.00208961,0.0598933
6,0.0599541,0.00209609,0.0599932
6.01,0.0600539,0.00210259,0.0600932
6.02,0.0601537,0.00210909,0.0601932
6.03,0.0602535,0.00211561,0.0602932
6.04,0.0603533,0.00212213,0.0603931
6.05,0.0604531,0.00212867,0.0604931
6.06,0.0605528,0.00213521,0.0605931
6.07,0.0606526,0.00214177,0.0606931
6.08,0.0607524,0.00214833,0.060793
6.09,0.0608522,0.0021549,0.060893
6.1,0.060952,0.00216149,0.060993
6.11,0.0610518,0.00216808,0.0610929
6.12,0.0611515,0.00217469,0.0611929
6.13,0.0612513,0.0021813,0.0612929
6.14,0.0613511,0.00218793,0.0613929
6.15,0.0614509,0.00219456,0.0614928
6.16,0.0615507,0.0022012,0.0615928
6.17,0.0616504,0.00220786,0.0616928
6.18,0.0617502,0.00221452,0.0617927
6.19,0.06185,0.0022212,0.0618927
6.2,0.0619498,0.00222788,0.0619927
6.21,0.0620495,0.00223458,0.0620927
6.22,0.0621493,0.00224128,0.0621926
6.23,0.0622491,0.00224799,0.0622926
6.24,0.0623489,0.00225472,0.0623926
6.25,0.0624486,0.00226145,0.0624925
6.26,0.0625484,0.0022682,0.0625925
6.27,0.0626482,0.00227495,0.0626925
6.28,0.062748,0.00228171,0.0627925
